model,model_name,image_id,category,code_language,dists,clip_sim,edge_iou,edge_f1
deepseek-v3,DeepSeek V3,1000,transformation geometry,unknown,0.2588101029396057,0.847470760345459,0.18229994177818298,0.3083818995713507
deepseek-v3,DeepSeek V3,1005,combinatorial geometry,unknown,0.190873920917511,0.9150388240814209,0.07736819982528687,0.1436244403829643
deepseek-v3,DeepSeek V3,1009,transformation geometry,unknown,0.23965829610824585,0.914577066898346,0.021494822576642036,0.042085034596150546
deepseek-v3,DeepSeek V3,1010,logic,unknown,0.21376639604568481,0.941632091999054,0.1432255506515503,0.2505639434487764
deepseek-v3,DeepSeek V3,1011,descriptive geometry,unknown,0.20884215831756592,0.9595596194267273,0.09639555960893631,0.17584083962805333
deepseek-v3,DeepSeek V3,1012,metric geometry - length,unknown,0.22371822595596313,0.945174515247345,0.08618670701980591,0.15869593298217027
deepseek-v3,DeepSeek V3,1014,metric geometry - area,unknown,0.3099161982536316,0.917788028717041,0.035317182540893555,0.06822485393675075
deepseek-v3,DeepSeek V3,1015,logic,unknown,0.22448772192001343,0.9523703455924988,0.06186456233263016,0.11652062852576459
deepseek-v3,DeepSeek V3,1016,metric geometry - length,unknown,0.23698431253433228,0.9625973105430603,0.02568807266652584,0.05008944503117631
deepseek-v3,DeepSeek V3,1020,metric geometry - length,unknown,0.23535650968551636,0.9432467222213745,0.02901170775294304,0.05638751746798998
deepseek-v3,DeepSeek V3,1021,algebra,unknown,0.20724087953567505,0.9415972232818604,0.05997210741043091,0.11315789184165147
deepseek-v3,DeepSeek V3,1025,combinatorial geometry,unknown,0.21109658479690552,0.9020310640335083,0.18854109942913055,0.31726475073075683
deepseek-v3,DeepSeek V3,1028,combinatorial geometry,unknown,0.23932290077209473,0.9491914510726929,0.062040477991104126,0.1168326085393731
deepseek-v3,DeepSeek V3,1031,metric geometry - area,unknown,0.27230149507522583,0.9210725426673889,0.030267510563135147,0.05875660493480966
deepseek-v3,DeepSeek V3,1033,metric geometry - length,unknown,0.2715538740158081,0.876757025718689,0.08184683322906494,0.15130947389988456
deepseek-v3,DeepSeek V3,1035,algebra,unknown,0.22607529163360596,0.8440331816673279,0.020579945296049118,0.0403299017483151
deepseek-v3,DeepSeek V3,1038,combinatorial geometry,unknown,0.24421077966690063,0.9405497908592224,0.0053368001244962215,0.010616939326783602
deepseek-v3,DeepSeek V3,1039,topology,unknown,0.2681455612182617,0.931617021560669,0.08217126131057739,0.15186369897916693
deepseek-v3,DeepSeek V3,1042,combinatorics,unknown,0.3246310353279114,0.9037582278251648,0.030207179486751556,0.058642922013043414
deepseek-v3,DeepSeek V3,1043,metric geometry - area,unknown,0.1329377293586731,0.9614819884300232,0.16970859467983246,0.29017242849707237
deepseek-v3,DeepSeek V3,1050,topology,unknown,0.27049410343170166,0.8625363111495972,0.044657427817583084,0.08549678864201106
deepseek-v3,DeepSeek V3,1051,combinatorial geometry,unknown,0.29912805557250977,0.9538586139678955,0.009925558231770992,0.019656019257129204
deepseek-v3,DeepSeek V3,1052,metric geometry - area,unknown,0.2558872699737549,0.9093248844146729,0.07895345240831375,0.1463519187670775
deepseek-v3,DeepSeek V3,1054,graph theory,unknown,0.17087459564208984,0.9204601049423218,0.20425863564014435,0.3392271694172819
deepseek-v3,DeepSeek V3,1058,algebra,unknown,0.2881547808647156,0.8875955939292908,0.06711040437221527,0.12577968471920342
deepseek-v3,DeepSeek V3,106,combinatorial geometry,unknown,0.3266075849533081,0.8131028413772583,0.07072464376688004,0.13210613470275026
deepseek-v3,DeepSeek V3,1060,transformation geometry,unknown,0.3868461847305298,0.8212977647781372,0.06140223890542984,0.11570022593134319
deepseek-v3,DeepSeek V3,1062,combinatorial geometry,unknown,0.20053750276565552,0.9593774080276489,0.005244755186140537,0.010434782759382994
deepseek-v3,DeepSeek V3,1063,transformation geometry,unknown,0.21545374393463135,0.9407562017440796,0.10035708546638489,0.18240820778549635
deepseek-v3,DeepSeek V3,1066,combinatorial geometry,unknown,0.18953830003738403,0.8988426327705383,0.1256379783153534,0.2232298078268247
deepseek-v3,DeepSeek V3,1069,algebra,unknown,0.23698770999908447,0.9326159954071045,0.04352274909615517,0.08341504731323524
deepseek-v3,DeepSeek V3,1072,metric geometry - area,unknown,0.26028573513031006,0.9549775123596191,0.025958752259612083,0.050603891092220084
deepseek-v3,DeepSeek V3,1076,metric geometry - area,unknown,0.2261514663696289,0.8976632952690125,0.008867606520652771,0.017579327020237682
deepseek-v3,DeepSeek V3,1078,descriptive geometry,unknown,0.23545873165130615,0.8849265575408936,0.061356253921985626,0.1156185877138083
deepseek-v3,DeepSeek V3,1079,metric geometry - area,unknown,0.27375274896621704,0.8897144198417664,0.020614424720406532,0.04039611019996743
deepseek-v3,DeepSeek V3,1080,transformation geometry,unknown,0.26145273447036743,0.9334583878517151,0.08084513247013092,0.14959614654098788
deepseek-v3,DeepSeek V3,1081,arithmetic,unknown,0.2962440252304077,0.9101938605308533,0.12595796585083008,0.22373474705752738
deepseek-v3,DeepSeek V3,1083,combinatorial geometry,unknown,0.3479617238044739,0.9280892610549927,0.06821411848068237,0.12771618758091066
deepseek-v3,DeepSeek V3,1084,combinatorial geometry,unknown,0.2929471731185913,0.9137954115867615,0.06514976173639297,0.1223297668451318
deepseek-v3,DeepSeek V3,1087,metric geometry - area,tikz,0.16129052639007568,0.9428305625915527,0.09856733679771423,0.17944705202398217
deepseek-v3,DeepSeek V3,1088,algebra,unknown,0.28281521797180176,0.9201418161392212,0.07630176842212677,0.14178507473185514
deepseek-v3,DeepSeek V3,109,arithmetic,unknown,0.3688855767250061,0.7308441996574402,0.055732447654008865,0.10558063204538501
deepseek-v3,DeepSeek V3,1091,solid geometry,unknown,0.2204921841621399,0.961225688457489,0.08578729629516602,0.15801861275668655
deepseek-v3,DeepSeek V3,1092,metric geometry - area,unknown,0.20838284492492676,0.9574527144432068,0.1328011006116867,0.23446498518306483
deepseek-v3,DeepSeek V3,1095,combinatorial geometry,unknown,0.24744313955307007,0.9412498474121094,0.07430487126111984,0.13833107003378706
deepseek-v3,DeepSeek V3,1096,combinatorial geometry,unknown,0.17612677812576294,0.8613137602806091,0.032221097499132156,0.062430608884454404
deepseek-v3,DeepSeek V3,1097,logic,unknown,0.22804135084152222,0.9472307562828064,0.04742954671382904,0.09056369602776208
deepseek-v3,DeepSeek V3,1099,combinatorial geometry,unknown,0.19026309251785278,0.9484516978263855,0.14414134621620178,0.2519642325140228
deepseek-v3,DeepSeek V3,1102,combinatorial geometry,unknown,0.326835036277771,0.9335015416145325,0.08448094129562378,0.15579976791065459
deepseek-v3,DeepSeek V3,1104,combinatorics,unknown,0.3077549934387207,0.9259139895439148,0.03382430970668793,0.06543531488018878
