model,model_name,image_id,category,code_language,dists,clip_sim,edge_iou,edge_f1
deepseek-v3,DeepSeek V3,1,arithmetic,tikz,0.27505600452423096,0.7814106345176697,0.09777651727199554,0.17813555343545473
deepseek-v3,DeepSeek V3,10,unknown,tikz,0.3762863278388977,0.8841273188591003,0.09388493746519089,0.171654138056738
deepseek-v3,DeepSeek V3,100,unknown,tikz,0.3731176257133484,0.8729461431503296,0.06888391822576523,0.12888942456707922
deepseek-v3,DeepSeek V3,1000,transformation geometry,tikz,0.2588101029396057,0.847470760345459,0.18229994177818298,0.3083818995713507
deepseek-v3,DeepSeek V3,1001,algebra,tikz,0.23859238624572754,0.9161499738693237,0.15817345678806305,0.2731429493752118
deepseek-v3,DeepSeek V3,1002,metric geometry - area,tikz,0.30469363927841187,0.8720524907112122,0.06035149469971657,0.11383300103290167
deepseek-v3,DeepSeek V3,1003,descriptive geometry,tikz,0.2870698571205139,0.8975416421890259,0.16966667771339417,0.2901111728130265
deepseek-v3,DeepSeek V3,1005,combinatorial geometry,tikz,0.190873920917511,0.9150388240814209,0.07736819982528687,0.1436244403829643
deepseek-v3,DeepSeek V3,1006,combinatorial geometry,tikz,0.26855725049972534,0.9087623953819275,0.1375485062599182,0.24183321413666484
deepseek-v3,DeepSeek V3,1007,transformation geometry,tikz,0.28855276107788086,0.9220974445343018,0.06101551651954651,0.11501343118837923
deepseek-v3,DeepSeek V3,1008,metric geometry - angle,tikz,0.29322391748428345,0.911565363407135,0.060374874621629715,0.11387458435256691
deepseek-v3,DeepSeek V3,1009,transformation geometry,tikz,0.23965829610824585,0.914577066898346,0.021494822576642036,0.042085034596150546
deepseek-v3,DeepSeek V3,101,unknown,tikz,0.31954991817474365,0.8219842314720154,0.0515923872590065,0.09812240239960916
deepseek-v3,DeepSeek V3,1010,logic,tikz,0.21376639604568481,0.941632091999054,0.1432255506515503,0.2505639434487764
deepseek-v3,DeepSeek V3,1011,descriptive geometry,tikz,0.20884215831756592,0.9595596194267273,0.09639555960893631,0.17584083962805333
deepseek-v3,DeepSeek V3,1012,metric geometry - length,tikz,0.22371822595596313,0.945174515247345,0.08618670701980591,0.15869593298217027
deepseek-v3,DeepSeek V3,1013,combinatorial geometry,tikz,0.27950114011764526,0.9084710478782654,0.04886320233345032,0.09317364471169141
deepseek-v3,DeepSeek V3,1014,metric geometry - area,tikz,0.3099161982536316,0.917788028717041,0.035317182540893555,0.06822485393675075
deepseek-v3,DeepSeek V3,1015,logic,tikz,0.22448772192001343,0.9523703455924988,0.06186456233263016,0.11652062852576459
deepseek-v3,DeepSeek V3,1016,metric geometry - length,tikz,0.23698431253433228,0.9625973105430603,0.02568807266652584,0.05008944503117631
deepseek-v3,DeepSeek V3,1017,metric geometry - area,tikz,0.20711129903793335,0.8938374519348145,0.030058013275265694,0.05836178794295321
deepseek-v3,DeepSeek V3,1018,metric geometry - area,tikz,0.304534912109375,0.890022337436676,0.03016228787600994,0.05855832300016643
deepseek-v3,DeepSeek V3,1019,metric geometry - area,tikz,0.33281975984573364,0.9084804058074951,0.05867376923561096,0.11084390963640883
deepseek-v3,DeepSeek V3,102,combinatorics,tikz,0.42477893829345703,0.7761409878730774,0.056604716926813126,0.10714455026800024
deepseek-v3,DeepSeek V3,1020,metric geometry - length,tikz,0.23535650968551636,0.9432467222213745,0.02901170775294304,0.05638751746798998
deepseek-v3,DeepSeek V3,1021,algebra,tikz,0.20724087953567505,0.9415972232818604,0.05997210741043091,0.11315789184165147
deepseek-v3,DeepSeek V3,1022,metric geometry - area,tikz,0.22571301460266113,0.949243426322937,0.055317629128694534,0.10483598372999986
deepseek-v3,DeepSeek V3,1023,descriptive geometry,tikz,0.24278557300567627,0.8958454728126526,0.07332394272089005,0.13662965929204407
deepseek-v3,DeepSeek V3,1024,solid geometry,tikz,0.22261595726013184,0.9360355138778687,0.1151721179485321,0.2065548729772452
deepseek-v3,DeepSeek V3,1025,combinatorial geometry,tikz,0.21109658479690552,0.9020310640335083,0.18854109942913055,0.31726475073075683
deepseek-v3,DeepSeek V3,1026,combinatorics,tikz,0.16477489471435547,0.9412229657173157,0.08617017418146133,0.15866790541088904
